Product ID,Product Name,Category,Price,Quantity,Expiration Date,Calories,Fat,Carbs,Protein,Brand,Dietary Restrictions,Israeli Product
1,Apples,Fruits,2.5,10,6/30/2024,52,0.3,14,0.3, FreshFruit,None,No
2,Bananas,Fruits,1.75,15,6/30/2024,105,0.4,27,1.3,Tropical,None,No
3,Spinach,Vegetables,3,5,6/30/2024,23,0.4,3,2,GreenLeaf,"Gluten-Free, Vegan",No
4,Chicken Breast,Meat,5.5,8,6/30/2024,165,3.6,0,31,FarmFresh,None,No
5,Pasta,Grains,2,10,6/30/2024,200,1,40,7,PastaMasta,None,No
6,Tomatoes,Fruits,2.25,12,6/30/2024,18,0.2,4,1,RedDelight,None,No
7,Milk,Dairy,3.5,6,6/30/2024,150,8,12,8,FreshMilk,"Lactose-Free, Organic",No
8,Bread,Grains,2.75,7,6/30/2024,80,1,15,4,GrainBake,Gluten-Free,No
9,Yogurt,Dairy,1.99,8,6/30/2024,100,2,12,10,CreamyDairy,None,No
10,Eggs,Protein,2.99,10,6/30/2024,70,5,1,6,SunnySide,None,No
11,Broccoli,Vegetables,2.25,8,6/30/2024,55,0.6,11,5,GreenGiant,None,No
12,Oranges,Fruits,3.25,10,6/30/2024,62,0.2,15,1.2,CitrusFresh,None,No
13,Beef,Meat,6.75,6,6/30/2024,250,16,0,25,PrimeCuts,None,No
14,Rice,Grains,1.5,12,6/30/2024,205,0.5,45,5,GoldenGrain,None,No
15,Cheese,Dairy,4.25,5,6/30/2024,110,9,1,7,DairyDeluxe,None,No
16,Toothpaste,Household,2.99,3,N/A,N/A,N/A,N/A,N/A,WhiteSmile,None,No
17,Laundry Detergent,Household,8.5,2,N/A,N/A,N/A,N/A,N/A,FreshClean,None,No
18,Toilet Paper,Household,4.75,5,N/A,N/A,N/A,N/A,N/A,SoftTouch,None,No
19,Dish Soap,Household,3.25,4,N/A,N/A,N/A,N/A,N/A,SparkleClean,None,No
20,Hand Soap,Household,2.5,3,N/A,N/A,N/A,N/A,N/A,GentleGlow,None,No
21,Shampoo,Household,5.99,2,N/A,N/A,N/A,N/A,N/A,SilkyLocks,None,No
22,Conditioner,Household,6.99,2,N/A,N/A,N/A,N/A,N/A,SmoothWave,None,No
23,Aluminum Foil,Household,3.5,3,N/A,N/A,N/A,N/A,N/A,SilverWrap,None,No
24,Sandwich Bags,Household,2.25,4,N/A,N/A,N/A,N/A,N/A,FreshSeal,None,No
25,Olive Oil,Condiments,7.99,3,12/31/2024,120,14,0,0,OliveFresh,None,Yes
26,Hummus,Condiments,3.49,4,9/30/2024,70,5,6,2,Sabra,"Vegan, Gluten-Free",Yes
27,Tahini,Condiments,4.75,2,12/31/2024,90,8,0,0,Soom,"Vegan, Gluten-Free",Yes
28,Falafel Mix,Grains,3.25,3,12/31/2024,150,3,25,5,Osem,"Vegan, Gluten-Free",Yes
29,Shakshuka Sauce,Condiments,5.5,2,9/30/2024,60,4,4,1,Beitan,"Vegan, Gluten-Free",Yes
30,Bourekas,Bakery,4.25,6,12/31/2024,220,12,30,6,Bissli,None,Yes
31,Bamba,Snacks,2.99,8,12/31/2024,150,10,15,2,Osem,None,Yes
32,Bisli,Snacks,3.25,7,12/31/2024,180,12,20,2,Osem,None,Yes
33,Elite Chocolate,Sweets,4.99,4,12/31/2024,200,12,15,2,Elite,None,Yes
34,Pomegranate Juice,Beverages,5.75,3,9/30/2024,120,0,30,0,Prigat,None,Yes
35,Bouillon Cubes,Condiments,2.25,5,12/31/2024,0,1,0,0,Osem,None,Yes
